iter,lowerBound,dualValue
1,0,4.87246e+06
2,0,2.43003e+06
3,0,2.43003e+06
4,0,2.43003e+06
5,0,2.43003e+06
6,0,2.43003e+06
7,0,2.43003e+06
8,0,2.3902e+06
9,0,2.30993e+06
10,0,2.2753e+06
11,0,2.23946e+06
12,0,2.23811e+06
13,0,2.22983e+06
14,0,2.21709e+06
15,0,2.20411e+06
16,0,2.20098e+06
17,0,2.15891e+06
18,0,2.09839e+06
19,0,2.08748e+06
20,0,2.07415e+06
21,0,2.05829e+06
22,0,2.04302e+06
23,0,2.02022e+06
24,0,2.01296e+06
25,0,2.0098e+06
26,0,2.00753e+06
27,0,2.00383e+06
28,0,2.00168e+06
29,0,2.00059e+06
30,0,2.0001e+06
31,0,1.99821e+06
32,0,1.99771e+06
33,0,1.99754e+06
34,0,1.99644e+06
35,0,1.9882e+06
36,0,1.98637e+06
37,0,1.98565e+06
38,0,1.98535e+06
39,0,1.98406e+06
40,0,1.98314e+06
41,0,1.98175e+06
42,0,1.98089e+06
43,0,1.97963e+06
44,0,1.97822e+06
45,0,1.97623e+06
46,0,1.9752e+06
47,0,1.97455e+06
48,0,1.9738e+06
49,0,1.97347e+06
50,0,1.9732e+06
51,0,1.97291e+06
52,0,1.97161e+06
53,0,1.97101e+06
54,0,1.97053e+06
55,0,1.97014e+06
56,0,1.9701e+06
57,0,1.97e+06
58,0,1.96971e+06
59,0,1.96961e+06
60,0,1.96959e+06
61,0,1.96958e+06
62,0,1.96953e+06
63,0,1.96951e+06
64,0,1.96951e+06
65,0,1.96951e+06
66,0,1.96949e+06
67,0,1.96949e+06
68,0,1.96949e+06
69,0,1.96948e+06
70,0,1.96947e+06
71,0,1.96945e+06
72,0,1.96945e+06
73,1.56477e+06,1.96944e+06
74,1.53675e+06,1.96479e+06
75,1.5451e+06,1.96104e+06
76,1.56819e+06,1.95824e+06
77,1.56866e+06,1.95508e+06
78,1.62246e+06,1.95259e+06
79,1.62354e+06,1.95077e+06
80,1.66739e+06,1.94928e+06
81,1.66978e+06,1.94719e+06
82,1.69765e+06,1.94552e+06
83,1.71457e+06,1.94378e+06
84,1.69123e+06,1.94189e+06
85,1.72615e+06,1.94103e+06
86,1.72903e+06,1.93932e+06
87,1.75302e+06,1.93786e+06
88,1.75456e+06,1.93663e+06
89,1.76252e+06,1.93549e+06
90,1.78115e+06,1.93461e+06
91,1.78528e+06,1.93367e+06
92,1.7927e+06,1.93235e+06
93,1.77974e+06,1.93091e+06
94,1.79261e+06,1.9302e+06
95,1.79058e+06,1.92891e+06
96,1.79649e+06,1.928e+06
97,1.78621e+06,1.92689e+06
98,1.79763e+06,1.92577e+06
99,1.79484e+06,1.92482e+06
100,1.81431e+06,1.92433e+06
101,1.80893e+06,1.92387e+06
102,1.81435e+06,1.92297e+06
103,1.81762e+06,1.92243e+06
104,1.81469e+06,1.92172e+06
105,1.82256e+06,1.92103e+06
106,1.81552e+06,1.92053e+06
107,1.8252e+06,1.91976e+06
108,1.83206e+06,1.91964e+06
109,1.8311e+06,1.91894e+06
110,1.82709e+06,1.91847e+06
111,1.83116e+06,1.91803e+06
112,1.82992e+06,1.91731e+06
113,1.83336e+06,1.9167e+06
114,1.8352e+06,1.91641e+06
115,1.83972e+06,1.91581e+06
116,1.84764e+06,1.91515e+06
117,1.85127e+06,1.91477e+06
118,1.84477e+06,1.91436e+06
119,1.83444e+06,1.91317e+06
120,1.83396e+06,1.91293e+06
121,1.84484e+06,1.91246e+06
122,1.84964e+06,1.91218e+06
123,1.84585e+06,1.91188e+06
124,1.84775e+06,1.91158e+06
125,1.84783e+06,1.91112e+06
126,1.84753e+06,1.91093e+06
