iter,lowerBound,dualValue
1,0,196441
2,-153102,196441
3,-159143,196441
4,-157470,196441
5,-139258,196441
6,-189926,196441
7,-160013,196441
8,-91026.5,196441
9,-159155,196441
10,-140729,196441
11,-66616,196441
12,-98400,196441
13,-120350,196441
14,-138880,196441
15,-124886,196441
16,-83858.3,196441
17,-60830.4,196441
18,-41024.8,196441
19,2224.81,196441
20,-33321.6,196441
21,-33724.1,196441
22,-7875.75,196441
23,25548.6,196441
24,-7679.78,196441
25,32548.1,196441
26,61424.2,196441
27,75001,196441
28,74418.3,196441
29,99539.7,196441
30,102313,196441
31,132534,196441
32,115515,196441
33,126253,196441
34,143623,196441
35,150980,195957
36,159885,195340
37,165045,194964
38,166385,194638
39,173605,194414
40,178752,194131
41,182483,193963
42,181603,193551
43,187074,193285
44,186006,193152
45,187177,192924
46,189202,192791
47,190110,192740
48,190848,192676
49,191082,192645
50,191128,192607
51,191662,192590
52,192031,192569
53,192151,192538
54,192136,192532
55,192141,192506
56,192250,192497
57,192428,192496
58,192442,192496
59,192467,192496
60,192455,192495
61,192490,192495
62,192493,192495
63,192493,192495
64,192490,192494
65,192490,192494
66,192494,192494
67,180192,196434
68,190564,195595
69,193089,195330
70,193583,195260
71,194422,195189
72,194873,195169
73,194890,195142
74,194854,195133
75,194878,195133
76,195017,195131
77,194987,195126
78,194991,195126
79,195043,195119
80,195083,195117
81,195090,195117
82,195066,195117
83,195105,195113
84,195100,195113
85,195077,195112
86,195077,195112
87,195108,195112
88,195106,195112
89,195112,195112
90,188725,192823
91,191390,192722
92,192154,192688
93,192432,192671
94,192612,192668
95,192616,192666
96,192654,192664
97,192638,192664
98,192660,192664
99,192663,192663
100,188642,193197
101,192303,193025
102,192347,192985
103,192630,192958
104,192754,192943
105,192506,192937
106,192865,192925
107,192920,192925
108,192925,192925
109,191122,193564
110,192601,193485
111,193169,193398
112,193366,193390
113,193386,193390
114,193388,193390
115,193387,193389
116,193389,193389
117,151072,198067
118,186835,195100
119,191721,194872
120,193396,194769
121,193848,194736
122,194596,194725
123,194596,194710
124,194663,194708
125,194651,194708
126,194701,194707
127,194706,194706
128,189108,194019
129,190966,193932
130,193030,193813
131,193286,193689
132,193607,193678
133,193676,193677
134,193677,193677
135,190467,193580
136,191949,193335
137,191888,193269
138,192646,193241
139,193025,193215
