iter,lowerBound,dualValue
1,0,4.22007e+06
2,0,1.98912e+06
3,0,1.98912e+06
4,0,1.98875e+06
5,0,1.98875e+06
6,0,1.98875e+06
7,0,1.98875e+06
8,0,1.98875e+06
9,0,1.98875e+06
10,0,1.98875e+06
11,0,1.98875e+06
12,0,1.98875e+06
13,0,1.9882e+06
14,0,1.9882e+06
15,0,1.98794e+06
16,0,1.94271e+06
17,0,1.93537e+06
18,0,1.92517e+06
19,0,1.91682e+06
20,0,1.88258e+06
21,0,1.86543e+06
22,0,1.84503e+06
23,0,1.83789e+06
24,0,1.81588e+06
25,0,1.79137e+06
26,0,1.78466e+06
27,0,1.7796e+06
28,0,1.77718e+06
29,0,1.76506e+06
30,0,1.76218e+06
31,0,1.75258e+06
32,0,1.74987e+06
33,0,1.74516e+06
34,0,1.74184e+06
35,0,1.73684e+06
36,0,1.73291e+06
37,0,1.73066e+06
38,0,1.72716e+06
39,0,1.72518e+06
40,0,1.72332e+06
41,0,1.72104e+06
42,0,1.72051e+06
43,0,1.71937e+06
44,0,1.71771e+06
45,0,1.71732e+06
46,0,1.7167e+06
47,0,1.71588e+06
48,0,1.71524e+06
49,0,1.71486e+06
50,0,1.71458e+06
51,0,1.71439e+06
52,0,1.7143e+06
53,0,1.71422e+06
54,0,1.71405e+06
55,0,1.7138e+06
56,0,1.7138e+06
57,0,1.71365e+06
58,0,1.71358e+06
59,0,1.7133e+06
60,0,1.71328e+06
61,0,1.71327e+06
62,0,1.71325e+06
63,0,1.7132e+06
64,0,1.71317e+06
65,0,1.71314e+06
66,0,1.71308e+06
67,0,1.71308e+06
68,0,1.71308e+06
69,0,1.71308e+06
70,0,1.71308e+06
71,0,1.71308e+06
72,1.37434e+06,1.71308e+06
73,1.3353e+06,1.70796e+06
74,1.33393e+06,1.70536e+06
75,1.38227e+06,1.70267e+06
76,1.38036e+06,1.69947e+06
77,1.37993e+06,1.69759e+06
78,1.40343e+06,1.69577e+06
79,1.43437e+06,1.69387e+06
80,1.43079e+06,1.69199e+06
81,1.43821e+06,1.68996e+06
82,1.45486e+06,1.68833e+06
83,1.4724e+06,1.68709e+06
84,1.47003e+06,1.68589e+06
85,1.47997e+06,1.68465e+06
86,1.46934e+06,1.68326e+06
87,1.47905e+06,1.68203e+06
88,1.50168e+06,1.68036e+06
89,1.48281e+06,1.67859e+06
90,1.50336e+06,1.67789e+06
91,1.51831e+06,1.67716e+06
92,1.5091e+06,1.67586e+06
93,1.51894e+06,1.67476e+06
94,1.51938e+06,1.67388e+06
95,1.51725e+06,1.6727e+06
96,1.51139e+06,1.67161e+06
97,1.52471e+06,1.67084e+06
98,1.5346e+06,1.67008e+06
99,1.53622e+06,1.66906e+06
100,1.54338e+06,1.66838e+06
101,1.52848e+06,1.66703e+06
102,1.53493e+06,1.66621e+06
103,1.54684e+06,1.66542e+06
104,1.54853e+06,1.66475e+06
105,1.54366e+06,1.66385e+06
106,1.55446e+06,1.66331e+06
107,1.55504e+06,1.66299e+06
108,1.56346e+06,1.66257e+06
109,1.55254e+06,1.66139e+06
110,1.54636e+06,1.66017e+06
111,1.54926e+06,1.6595e+06
112,1.55159e+06,1.65883e+06
113,1.55063e+06,1.65818e+06
114,1.54858e+06,1.65795e+06
115,1.55925e+06,1.65763e+06
116,1.55494e+06,1.65689e+06
117,1.55956e+06,1.65643e+06
118,1.55781e+06,1.65625e+06
119,1.55744e+06,1.6542e+06
120,1.5619e+06,1.65397e+06
121,1.56155e+06,1.65332e+06
122,1.53706e+06,1.65307e+06
123,1.55333e+06,1.65287e+06
124,1.57231e+06,1.65279e+06
125,1.56368e+06,1.65257e+06
126,1.57123e+06,1.65229e+06
127,1.57314e+06,1.65208e+06
128,1.58047e+06,1.65084e+06
129,1.57332e+06,1.65045e+06
130,1.58433e+06,1.64997e+06
131,1.58137e+06,1.64988e+06
132,1.58888e+06,1.64966e+06
133,1.59858e+06,1.64945e+06
134,1.60479e+06,1.6493e+06
135,1.59938e+06,1.64802e+06
136,1.59e+06,1.64732e+06
137,1.58471e+06,1.64711e+06
138,1.5971e+06,1.64694e+06
139,1.59768e+06,1.64678e+06
140,1.5996e+06,1.64677e+06
141,1.59756e+06,1.64586e+06
142,1.60487e+06,1.64532e+06
143,1.60944e+06,1.64532e+06
144,1.61244e+06,1.64532e+06
145,1.61132e+06,1.64532e+06
146,1.59149e+06,1.64532e+06
147,1.59064e+06,1.64529e+06
148,1.60059e+06,1.64529e+06
149,1.61258e+06,1.64529e+06
150,1.61298e+06,1.64529e+06
151,1.61237e+06,1.64529e+06
152,1.6133e+06,1.64517e+06
153,1.62194e+06,1.64517e+06
154,1.62177e+06,1.64517e+06
155,1.62247e+06,1.64517e+06
156,1.6205e+06,1.64517e+06
157,1.62558e+06,1.64517e+06
158,1.62679e+06,1.64493e+06
159,1.62559e+06,1.64493e+06
160,1.62529e+06,1.64493e+06
161,1.62514e+06,1.64493e+06
162,1.62645e+06,1.64491e+06
163,1.62812e+06,1.64491e+06
164,1.63119e+06,1.64491e+06
165,1.63214e+06,1.64491e+06
166,1.63185e+06,1.64491e+06
167,1.63097e+06,1.64491e+06
168,1.63276e+06,1.64491e+06
169,1.6333e+06,1.64483e+06
170,1.63025e+06,1.64483e+06
171,1.63018e+06,1.64483e+06
172,1.63263e+06,1.64483e+06
173,1.63273e+06,1.64483e+06
174,1.6338e+06,1.64483e+06
175,1.63571e+06,1.64483e+06
176,1.63578e+06,1.64483e+06
177,1.63528e+06,1.64483e+06
178,1.63733e+06,1.64483e+06
179,1.63746e+06,1.64483e+06
180,1.63896e+06,1.64483e+06
181,1.63797e+06,1.64483e+06
182,1.63959e+06,1.64483e+06
183,1.63976e+06,1.64483e+06
184,1.64066e+06,1.64483e+06
185,1.6414e+06,1.64483e+06
186,1.64086e+06,1.64483e+06
187,1.64195e+06,1.64483e+06
188,1.64263e+06,1.64483e+06
189,1.64251e+06,1.64483e+06
190,1.64287e+06,1.64483e+06
191,1.64315e+06,1.64483e+06
192,1.64339e+06,1.64483e+06
193,1.64325e+06,1.64483e+06
194,1.64428e+06,1.64483e+06
195,1.64425e+06,1.64483e+06
196,1.64432e+06,1.64483e+06
197,1.6444e+06,1.64483e+06
198,1.64443e+06,1.64483e+06
199,1.64425e+06,1.64483e+06
200,1.64444e+06,1.64483e+06
201,1.64443e+06,1.64483e+06
202,1.64457e+06,1.64483e+06
203,1.64457e+06,1.64483e+06
204,1.64457e+06,1.64483e+06
205,1.64457e+06,1.64483e+06
206,1.64457e+06,1.64483e+06
207,1.64456e+06,1.64483e+06
208,1.64457e+06,1.64483e+06
209,1.64451e+06,1.64483e+06
210,1.6446e+06,1.64483e+06
211,1.64464e+06,1.64483e+06
212,1.64465e+06,1.64483e+06
213,1.64465e+06,1.64483e+06
214,1.64466e+06,1.64483e+06
215,1.64466e+06,1.64483e+06
216,1.64466e+06,1.64483e+06
217,1.64466e+06,1.64483e+06
218,1.64466e+06,1.64483e+06
219,1.64466e+06,1.64483e+06
220,1.64466e+06,1.64483e+06
221,1.64466e+06,1.64483e+06
222,1.64466e+06,1.64483e+06
223,1.64466e+06,1.64483e+06
224,1.64466e+06,1.64483e+06
225,1.64454e+06,1.64483e+06
226,1.6446e+06,1.64483e+06
227,1.64466e+06,1.64483e+06
228,1.64466e+06,1.64483e+06
229,1.64466e+06,1.64483e+06
230,1.64466e+06,1.64483e+06
231,1.64466e+06,1.64483e+06
232,1.64466e+06,1.64483e+06
233,1.64466e+06,1.64483e+06
234,1.64466e+06,1.64483e+06
235,1.64466e+06,1.64483e+06
236,1.64466e+06,1.64483e+06
237,1.64466e+06,1.64483e+06
238,1.64466e+06,1.64483e+06
239,1.64466e+06,1.64483e+06
240,1.64466e+06,1.64483e+06
241,1.64466e+06,1.64483e+06
242,1.64466e+06,1.64483e+06
243,1.64466e+06,1.64483e+06
244,1.64466e+06,1.64483e+06
245,1.64466e+06,1.64483e+06
246,1.64466e+06,1.64483e+06
247,1.64466e+06,1.64483e+06
248,1.64466e+06,1.64483e+06
249,1.64466e+06,1.64483e+06
250,1.64466e+06,1.64483e+06
251,1.64466e+06,1.64483e+06
252,1.64466e+06,1.64483e+06
253,1.64449e+06,1.64483e+06
254,1.64466e+06,1.64483e+06
255,1.64457e+06,1.64483e+06
256,1.64466e+06,1.64483e+06
257,1.64466e+06,1.64483e+06
258,1.64466e+06,1.64483e+06
259,1.64466e+06,1.64483e+06
260,1.64466e+06,1.64483e+06
261,1.64466e+06,1.64483e+06
262,1.64466e+06,1.64483e+06
263,1.64466e+06,1.64483e+06
264,1.64466e+06,1.64483e+06
265,1.64466e+06,1.64483e+06
266,1.64466e+06,1.64483e+06
267,1.64466e+06,1.64483e+06
268,1.64466e+06,1.64483e+06
269,1.64483e+06,1.64483e+06
