iter,lowerBound,dualValue
1,0,1.40027e+06
2,-1.36924e+06,1.40027e+06
3,-1.28253e+06,1.40027e+06
4,-1.16746e+06,1.40027e+06
5,-1.31289e+06,1.40027e+06
6,-1.30738e+06,1.40027e+06
7,-1.32566e+06,1.40027e+06
8,-1.25929e+06,1.40027e+06
9,-1.26534e+06,1.40027e+06
10,-1.29039e+06,1.40027e+06
11,-1.24046e+06,1.40027e+06
12,-1.36222e+06,1.40027e+06
13,-1.47229e+06,1.40027e+06
14,-1.40162e+06,1.40027e+06
15,-1.29599e+06,1.40027e+06
16,-1.36593e+06,1.40027e+06
17,-1.28038e+06,1.40027e+06
18,-1.5552e+06,1.40027e+06
19,-1.44323e+06,1.40027e+06
20,-1.32958e+06,1.40027e+06
21,-1.45486e+06,1.40027e+06
22,-1.45261e+06,1.40027e+06
23,-1.42397e+06,1.40027e+06
24,-1.35325e+06,1.36284e+06
25,-1.2379e+06,1.36284e+06
26,-1.42328e+06,1.35431e+06
27,-1.0939e+06,1.35431e+06
28,-1.58749e+06,1.35431e+06
29,-1.16663e+06,1.31996e+06
30,-790956,1.29065e+06
31,-921489,1.27969e+06
32,-921334,1.24783e+06
33,-916241,1.21031e+06
34,-754850,1.17099e+06
35,-662807,1.12983e+06
36,-444568,1.08495e+06
37,-298005,1.04031e+06
38,-183224,1.00535e+06
39,-154279,973930
40,-47399.4,944942
41,-29888.3,920367
42,7645.71,904154
43,68698.7,887252
44,71609.7,868694
45,119036,852593
46,144699,837415
47,175580,824960
48,212335,811818
49,241607,799539
50,278362,789306
51,334607,780318
52,320356,772156
53,379936,764340
54,388573,758126
55,410820,750928
56,441076,744582
57,437274,739213
58,457847,733349
59,453625,728534
60,492451,723796
61,491028,720039
62,510999,716675
63,512216,712589
64,524473,709563
65,534086,706442
66,527258,703700
67,556467,701714
68,563098,699457
69,569218,697054
70,574578,695077
71,569370,693334
72,587444,691825
73,578916,690329
74,589598,688799
75,593892,687568
76,604713,686630
77,600880,685490
78,604553,684323
79,608586,683202
80,617963,682297
81,617492,681442
82,621810,680788
83,623883,679953
84,628283,679475
85,629949,678768
86,634277,678136
87,631797,677526
88,637447,676979
89,639739,676491
90,639266,675919
91,643295,675453
92,643526,675058
93,646208,674700
94,650009,674343
95,650404,674078
96,650177,673776
97,653688,673555
98,653872,673311
99,654381,673131
100,655012,672930
101,655629,672715
102,655219,672549
103,658984,672431
104,659404,672319
105,660970,672184
106,660943,672032
107,661481,671925
108,662641,671833
109,664507,671749
110,664215,671629
111,665077,671522
112,664909,671457
113,665441,671389
114,665771,671326
115,666396,671292
116,666678,671246
117,667018,671211
118,667327,671180
119,668265,671149
120,668232,671135
121,668665,671109
122,669107,671096
123,668969,671071
124,669003,671059
125,669286,671041
126,669465,671021
127,669679,671014
128,669935,671001
129,669931,670990
130,670116,670982
131,670144,670975
132,670153,670971
133,670173,670962
134,670149,670957
135,670377,670956
136,670443,670955
137,670487,670954
138,670397,670951
139,670434,670951
140,670498,670950
141,670545,670949
142,670505,670947
143,670577,670947
144,670590,670946
145,670569,670945
146,670587,670945
147,670609,670944
148,670635,670944
149,670643,670941
150,670653,670941
151,670661,670941
152,670655,670941
153,670657,670941
154,670657,670941
155,670657,670941
156,670657,670941
157,670657,670941
158,670657,670941
159,670657,670941
160,670657,670941
161,670657,670941
162,670657,670941
163,670657,670941
164,670657,670941
165,670657,670941
166,670657,670941
167,670657,670941
168,670657,670941
169,670657,670941
170,670657,670941
171,670657,670941
172,670657,670941
173,670657,670941
174,670657,670941
175,670657,670941
176,670657,670941
177,670657,670941
178,670657,670941
179,670657,670941
180,670657,670941
181,670657,670941
182,670657,670941
183,670657,670941
184,670657,670941
185,670657,670941
186,670799,670941
187,670657,670941
188,670657,670941
189,670941,670941
