iter,lowerBound,dualValue
1,0,1.17957e+06
2,-1.05413e+06,1.17957e+06
3,-951099,1.17957e+06
4,-1.98803e+06,1.17957e+06
5,-3.65646e+06,1.17957e+06
6,-8.2354e+06,1.17957e+06
7,-6.80123e+06,1.17957e+06
8,-2.23716e+07,1.17957e+06
9,-6.39798e+07,1.17957e+06
10,-3.77865e+07,1.17957e+06
11,-4.09582e+07,1.17957e+06
12,-3.73622e+07,1.17957e+06
13,-1.67009e+07,1.17957e+06
14,-4.36325e+07,1.17957e+06
15,-7.47343e+07,1.17957e+06
16,-4.33737e+07,1.17957e+06
17,-4.71837e+08,1.17957e+06
18,-2.324e+08,1.17957e+06
19,-5.0883e+07,1.17957e+06
20,-2.60979e+08,1.17957e+06
21,-4.73674e+06,1.17957e+06
22,-8.87993e+07,1.17957e+06
23,-8.2988e+08,1.17957e+06
24,-1.91916e+06,1.17957e+06
25,-4.7429e+07,1.17957e+06
26,-1.71903e+09,1.17957e+06
27,-1.94314e+06,1.17957e+06
28,-2.61704e+07,1.17957e+06
29,-2.50959e+06,1.17957e+06
30,-4.3015e+07,1.17957e+06
31,-4.1836e+09,1.17957e+06
32,-3.15559e+06,1.17957e+06
33,-1.75445e+07,1.17957e+06
34,-4.22235e+08,1.17957e+06
35,-4.59384e+06,1.17957e+06
36,-1.75508e+07,1.17957e+06
37,-2.17866e+07,1.17957e+06
38,-3.3973e+07,1.17957e+06
39,-1.79684e+07,1.17957e+06
40,-1.44741e+07,1.17957e+06
41,-3.65017e+07,1.17957e+06
42,-1.04647e+07,1.17957e+06
43,-1.10884e+07,1.17957e+06
44,-1.22654e+07,1.17957e+06
45,-1.22785e+07,1.17957e+06
46,-1.34329e+07,1.17957e+06
47,-1.15522e+07,1.17957e+06
48,-1.8475e+07,1.17957e+06
49,-3.20293e+07,1.17957e+06
50,-3.50056e+07,1.08676e+06
51,-2.9219e+06,996750
52,-1.05712e+06,935318
53,-947644,883603
54,-732794,828621
55,-588709,779229
56,-386629,746576
57,-209160,719178
58,-47399.7,698863
59,82792,681701
60,32413.1,667700
61,96681.9,654792
62,153919,644939
63,168117,636513
64,186588,627720
65,192461,620534
66,224738,612075
67,247125,605636
68,271672,598797
69,263793,593332
70,291393,589181
71,304151,585297
72,320871,581811
73,333305,577778
74,346142,574501
75,350821,571234
76,345651,567657
77,370578,564964
78,372297,561949
79,372966,559616
80,387619,557260
81,392436,555192
82,400389,552806
83,407221,550546
84,397976,548157
85,400856,546477
86,401955,544711
87,423442,543209
88,423401,541716
89,425714,540526
90,427735,539294
91,437119,537867
92,435714,536601
93,448287,535628
94,444589,534329
95,446883,533487
96,452537,532847
97,450877,531745
98,460500,530907
99,453349,530046
100,454971,529072
101,461527,528312
102,460889,527626
103,466487,527053
104,462811,526527
105,467500,525977
106,473931,525619
107,475311,525230
108,479294,524847
109,477242,524187
110,485218,523864
111,480089,523371
112,484549,522801
113,485198,522463
114,483971,522107
115,485652,521488
116,485350,521173
117,488639,520833
118,490823,520576
119,491677,520266
120,495633,520027
121,492683,519735
122,494630,519533
123,497085,519361
124,499320,519145
125,499949,518950
126,502017,518800
127,500918,518666
128,502185,518563
129,505335,518431
130,504479,518356
131,507040,518225
132,507839,518202
133,505382,518104
134,507312,518056
135,508974,517977
136,509922,517840
137,509401,517793
138,509727,517724
139,510357,517668
140,510153,517547
141,511799,517527
142,511112,517473
143,512899,517470
144,513020,517454
145,513413,517449
146,512186,517414
147,512365,517405
148,512710,517390
149,514927,517385
150,514837,517378
151,515042,517378
152,515206,517376
153,515359,517374
154,515081,517371
155,515463,517367
156,515828,517367
157,514619,517286
158,515106,517285
159,513775,517201
160,514155,517190
161,514280,517188
162,515564,517156
163,515089,517155
164,514983,517154
165,515514,517154
166,515378,517154
167,515534,517154
168,515156,517108
169,515120,517095
170,515355,517087
171,514725,517083
172,515380,517082
173,515736,517082
174,515648,517081
175,515686,517081
176,515781,517081
177,515788,517081
178,515203,517069
179,514863,517063
180,515488,517063
181,516284,517049
182,516403,517038
183,515994,517033
184,516262,517031
185,516281,517031
186,516277,517031
187,516277,517031
188,516612,517031
189,516410,517031
190,516612,517031
191,516410,517031
192,516612,517031
193,516569,517031
194,516582,517031
195,516630,517031
196,516632,517030
197,516327,517030
198,516632,517030
199,516581,517030
200,516327,517030
201,516684,517026
202,516667,517026
203,516643,517026
204,516638,517026
205,516583,516958
206,516721,516956
207,516761,516956
208,516782,516956
209,516809,516956
210,516801,516956
211,516903,516954
212,516922,516954
213,516922,516954
214,516919,516954
215,516914,516954
216,516934,516954
217,516929,516954
218,516929,516954
219,516929,516954
220,516929,516954
221,516929,516954
222,516929,516954
223,516937,516954
224,516937,516954
225,516937,516954
226,516937,516954
227,516932,516954
228,516932,516954
229,516932,516954
230,516932,516954
231,516920,516954
232,516920,516954
233,516920,516954
234,516920,516954
235,516937,516954
236,516937,516954
237,516937,516954
238,516937,516954
239,516937,516954
240,516937,516954
241,516937,516954
242,516937,516954
243,516937,516954
244,516937,516954
245,516937,516954
246,516937,516954
247,516937,516954
248,516937,516954
249,516937,516954
250,516937,516954
251,516920,516954
252,516920,516954
253,516920,516954
254,516920,516954
255,516937,516954
256,516932,516954
257,516937,516954
258,516937,516954
259,516937,516954
260,516937,516954
261,516937,516954
262,516937,516954
263,516954,516954
